iter	RMSE
0	2500.5871
1	2408.65722
2	2326.346302
3	2251.18307
4	2184.196455
5	2128.100374
6	2074.749463
7	2027.299486
8	1981.104008
9	1941.78536
10	1905.3904
11	1872.337454
12	1842.584504
13	1816.070197
14	1789.717313
15	1767.589595
16	1743.405836
17	1721.276964
18	1704.298548
19	1689.144404
20	1674.90846
21	1662.790875
22	1650.257724
23	1639.764045
24	1630.076546
25	1616.650427
26	1607.235887
27	1593.145272
28	1584.936294
29	1576.696203
30	1565.70322
31	1558.6184
32	1551.964249
33	1542.870938
34	1534.714273
35	1529.417892
36	1525.310635
37	1519.033096
38	1511.383145
39	1503.713406
40	1498.293137
41	1494.176863
42	1490.615687
43	1485.664206
44	1482.22568
45	1477.030918
46	1472.688629
47	1467.08358
48	1461.062308
49	1455.74597
50	1452.721499
51	1448.252614
52	1441.775038
53	1436.845539
54	1433.838379
55	1430.668906
56	1427.171633
57	1423.419975
58	1420.746147
59	1418.749455
60	1416.42189
61	1414.795097
62	1413.237116
63	1411.728309
64	1409.91238
65	1408.453792
66	1404.718786
67	1402.266776
68	1400.189087
69	1398.719807
70	1396.865617
71	1394.791469
72	1392.086539
73	1390.439017
74	1388.215616
75	1386.445351
76	1383.97392
77	1382.437814
78	1381.291857
79	1379.351619
80	1378.607227
81	1377.901282
82	1375.838879
83	1374.315851
84	1372.634687
85	1372.105664
86	1370.544167
87	1369.49916
88	1367.489451
89	1366.548556
90	1365.992872
91	1364.759908
92	1364.334647
93	1362.779994
94	1361.301037
95	1360.504471
96	1359.05852
97	1357.530529
98	1356.777192
99	1355.630111
100	1355.20402
101	1354.611959
102	1353.557132
103	1351.494441
104	1350.108711
105	1349.032772
106	1348.575513
107	1347.497737
108	1346.547654
109	1345.732251
110	1345.003886
111	1344.433305
112	1343.539939
113	1342.781147
114	1341.965654
115	1341.246738
116	1340.796326
117	1339.333082
118	1338.727797
119	1337.545067
120	1336.862109
121	1336.185612
122	1335.736967
123	1335.080822
124	1334.167457
125	1333.465052
126	1333.023828
127	1332.59495
128	1332.186643
129	1331.185673
130	1330.278186
131	1329.549867
132	1328.93556
133	1328.240975
134	1327.752787
135	1327.080859
136	1326.523125
137	1325.904577
138	1325.57738
139	1324.753509
140	1324.291669
141	1323.353169
142	1322.88796
143	1322.36589
144	1321.597573
145	1321.134068
146	1320.527888
147	1319.924025
148	1319.018636
149	1318.489685
150	1317.893803
151	1317.300549
152	1316.641995
153	1316.050964
154	1315.146434
155	1314.559743
156	1314.174568
157	1313.604182
158	1312.780629
159	1312.108572
160	1311.445916
161	1311.057073
162	1310.343096
163	1309.71722
164	1309.140234
165	1308.78217
166	1307.951516
167	1307.165756
168	1306.599147
169	1306.170084
170	1305.778124
171	1305.140428
172	1304.620493
173	1303.979718
174	1303.345255
175	1302.799642
176	1302.224795
177	1301.735205
178	1301.366817
179	1300.918575
180	1300.481684
181	1299.931024
182	1299.608719
183	1299.371037
184	1299.019558
185	1298.495204
186	1297.912132
187	1297.58093
188	1297.104484
189	1296.403981
190	1295.981701
191	1295.293361
192	1294.738316
193	1294.270562
194	1293.779308
195	1293.260117
196	1292.991201
197	1292.750335
198	1292.398232
199	1292.028233
200	1291.555548
201	1291.043525
202	1290.73327
203	1290.179554
204	1289.78174
205	1289.408464
206	1289.102371
207	1288.750132
208	1288.473947
209	1287.974495
210	1287.596066
211	1287.34755
212	1286.800694
213	1286.353197
214	1285.994434
215	1285.588022
216	1285.275364
217	1284.84436
218	1284.493335
219	1284.234815
220	1283.82186
221	1283.272854
222	1282.765523
223	1282.411793
224	1282.066709
225	1281.740483
226	1281.480169
227	1280.996322
228	1280.307585
229	1279.901341
230	1279.413071
231	1279.06405
232	1278.584903
233	1278.229505
234	1277.711432
235	1277.337776
236	1277.060138
237	1276.842616
238	1276.575259
239	1276.325075
240	1275.975949
241	1275.453964
242	1275.061609
243	1274.465341
244	1274.060358
245	1273.631951
246	1273.382481
247	1273.045581
248	1272.630712
249	1272.322832
250	1271.987402
251	1271.371225
252	1270.96067
253	1270.53388
254	1270.249718
255	1269.893528
256	1269.587027
257	1269.370523
258	1268.88272
259	1268.628498
260	1268.341151
261	1268.104236
262	1267.872122
263	1267.527526
264	1267.247161
265	1266.960957
266	1266.640931
267	1266.231724
268	1265.720916
269	1265.377369
270	1264.949892
271	1264.685441
272	1264.474805
273	1264.149566
274	1263.797767
275	1263.430182
276	1263.048627
277	1262.67403
278	1262.430788
279	1261.951692
280	1261.615401
281	1261.211539
282	1260.963292
283	1260.762308
284	1260.388999
285	1260.070878
286	1259.748262
287	1259.425698
288	1259.228003
289	1258.989072
290	1258.567855
291	1258.252147
292	1257.876692
293	1257.656782
294	1257.370293
295	1256.86537
296	1256.622497
297	1256.263879
298	1255.931508
299	1255.581217
300	1255.259725
301	1254.580839
302	1254.257643
303	1253.963238
304	1253.775278
305	1253.172183
306	1252.965683
307	1252.594133
308	1252.320442
309	1251.940059
310	1251.495037
311	1251.135931
312	1250.902417
313	1250.770478
314	1250.484257
315	1250.258166
316	1250.001345
317	1249.761912
318	1249.465243
319	1249.287692
320	1249.04431
321	1248.874639
322	1248.6072
323	1248.181897
324	1247.862393
325	1247.659879
326	1247.487869
327	1247.020374
328	1246.72762
329	1246.495511
330	1246.053546
331	1245.70751
332	1245.337303
333	1245.186553
334	1244.875565
335	1244.671178
336	1244.495832
337	1244.275583
338	1244.04559
339	1243.748991
340	1243.370698
341	1243.080188
342	1242.716129
343	1242.450125
344	1242.209181
345	1241.909162
346	1241.500956
347	1241.281041
348	1240.978989
349	1240.636356
350	1240.319845
351	1239.978148
352	1239.691103
353	1239.53306
354	1239.126931
355	1238.861406
356	1238.60405
357	1238.37782
358	1238.196817
359	1237.87374
360	1237.630824
361	1237.231662
362	1236.83061
363	1236.624005
364	1236.372447
365	1236.16654
366	1236.004272
367	1235.637002
368	1235.48598
369	1235.245837
370	1234.949472
371	1234.658237
372	1234.399999
373	1234.179022
374	1233.630543
375	1233.422454
376	1232.923139
377	1232.61251
378	1232.329041
379	1231.93144
380	1231.725492
381	1231.587952
382	1231.414852
383	1231.207949
384	1230.757328
385	1230.610737
386	1230.403225
387	1229.965226
388	1229.732688
389	1229.381889
390	1229.034208
391	1228.82035
392	1228.605823
393	1228.410848
394	1228.107747
395	1227.918699
396	1227.783684
397	1227.502805
398	1227.268899
399	1227.074128
400	1226.75938
401	1226.616925
402	1226.402302
403	1226.193574
404	1225.835718
405	1225.508886
406	1225.221186
407	1224.943636
408	1224.591352
409	1224.270968
410	1223.924102
411	1223.761689
412	1223.577848
413	1223.372109
414	1223.135264
415	1222.919735
416	1222.723257
417	1222.524997
418	1222.388288
419	1222.141708
420	1221.892153
421	1221.617291
422	1221.344008
423	1221.11788
424	1220.946774
425	1220.694164
426	1220.447226
427	1220.22424
428	1219.887046
429	1219.708525
430	1219.513006
431	1219.334588
432	1219.210755
433	1218.953928
434	1218.595042
435	1218.400389
436	1218.136353
437	1217.940214
438	1217.660722
439	1217.475091
440	1217.351169
441	1217.06848
442	1216.93492
443	1216.627674
444	1216.45182
445	1216.225242
446	1216.081379
447	1215.896467
448	1215.651225
449	1215.298958
450	1215.168208
451	1214.966761
452	1214.756527
453	1214.519261
454	1214.144112
455	1213.903427
456	1213.650511
457	1213.471292
458	1213.321622
459	1213.135227
460	1212.9679
461	1212.847227
462	1212.648927
463	1212.475124
464	1212.247716
465	1212.064032
466	1211.829146
467	1211.552006
468	1211.309228
469	1211.042258
470	1210.822396
471	1210.571383
472	1210.499373
473	1210.18456
474	1210.055325
475	1209.805638
476	1209.609035
477	1209.34137
478	1209.223165
