iter	Passed	Remaining
0	1	1903
1	3	1780
2	5	1882
3	7	1850
4	9	1852
5	11	1896
6	13	1930
7	15	1970
8	18	1992
9	20	2014
10	22	2021
11	24	2029
12	26	2027
13	28	2023
14	30	2019
15	32	2020
16	34	2020
17	37	2021
18	64	3340
19	80	3935
20	82	3853
21	84	3776
22	89	3821
23	94	3833
24	97	3784
25	99	3726
26	101	3654
27	103	3592
28	105	3526
29	107	3459
30	108	3398
31	110	3343
32	112	3293
33	114	3249
34	116	3202
35	118	3162
36	119	3119
37	121	3077
38	123	3038
39	125	3004
40	126	2970
41	128	2937
42	130	2905
43	132	2874
44	134	2848
45	136	2825
46	138	2799
47	139	2773
48	141	2751
49	143	2727
50	145	2708
51	147	2692
52	149	2670
53	151	2653
54	153	2633
55	154	2612
56	156	2594
57	158	2576
58	160	2558
59	162	2543
60	164	2526
61	165	2511
62	167	2492
63	169	2476
64	171	2460
65	173	2448
66	174	2435
67	176	2420
68	178	2407
69	180	2397
70	182	2387
71	184	2377
72	186	2365
73	187	2352
74	189	2340
75	191	2329
76	193	2317
77	195	2311
78	197	2307
79	200	2301
80	202	2294
81	204	2284
82	205	2274
83	207	2265
84	209	2256
85	211	2247
86	213	2243
87	215	2237
88	218	2233
89	220	2225
90	222	2219
91	224	2214
92	226	2207
93	228	2202
94	230	2196
95	232	2190
96	234	2185
97	236	2179
98	238	2172
99	240	2166
100	243	2163
101	245	2157
102	247	2152
103	249	2147
104	251	2142
105	253	2139
106	255	2131
107	257	2130
108	259	2123
109	261	2116
110	263	2109
111	265	2107
112	267	2101
113	269	2094
114	271	2088
115	273	2082
116	274	2075
117	277	2070
118	278	2063
119	280	2055
120	281	2048
121	284	2044
122	285	2038
123	287	2031
124	289	2025
125	291	2019
126	293	2014
127	295	2010
128	296	2003
129	298	1999
130	300	1994
131	302	1988
132	304	1983
133	305	1977
134	307	1971
135	309	1966
136	311	1961
137	313	1956
138	315	1953
139	317	1948
140	318	1942
141	320	1937
142	322	1932
143	324	1927
144	326	1923
145	327	1918
146	329	1913
147	331	1908
148	333	1903
149	335	1899
150	337	1895
151	338	1890
152	340	1886
153	342	1882
154	344	1877
155	346	1873
156	348	1870
157	350	1865
158	351	1861
159	354	1859
160	356	1855
161	357	1850
162	359	1847
163	361	1843
164	363	1838
165	365	1833
166	366	1829
167	368	1826
168	370	1822
169	372	1818
170	374	1813
171	376	1810
172	377	1805
173	379	1802
174	381	1798
175	383	1795
176	385	1791
177	386	1787
178	388	1783
179	390	1780
180	392	1776
181	394	1773
182	396	1771
183	398	1767
184	400	1765
185	402	1763
186	405	1761
187	407	1758
188	409	1755
189	411	1753
190	413	1750
191	415	1748
192	417	1744
193	419	1741
194	421	1740
195	423	1737
196	425	1734
197	427	1732
198	429	1728
199	431	1726
200	433	1723
201	435	1721
202	438	1719
203	440	1717
204	442	1716
205	444	1714
206	447	1712
207	448	1709
208	450	1705
209	452	1702
210	454	1698
211	456	1695
212	457	1691
213	459	1688
214	461	1684
215	463	1681
216	465	1677
217	466	1674
218	468	1671
219	470	1668
220	472	1665
221	474	1662
222	475	1658
223	477	1654
224	479	1651
225	481	1648
226	483	1647
227	485	1644
228	487	1642
229	489	1639
230	491	1635
231	493	1632
232	495	1630
233	497	1627
234	498	1623
235	500	1620
236	502	1617
237	503	1613
238	505	1610
239	507	1607
240	509	1603
241	511	1600
242	512	1597
243	515	1595
244	516	1592
245	518	1589
246	520	1586
247	522	1584
248	524	1581
249	526	1578
250	528	1576
251	529	1572
252	531	1569
253	533	1566
254	535	1563
255	537	1560
256	538	1557
257	540	1554
258	542	1552
259	544	1548
260	545	1545
261	547	1543
262	549	1540
263	551	1537
264	553	1535
265	555	1532
266	557	1529
267	558	1526
268	560	1523
269	562	1520
270	564	1517
271	565	1514
272	567	1511
273	569	1508
274	570	1505
275	572	1502
276	574	1499
277	576	1496
278	578	1493
279	579	1490
280	581	1488
281	583	1485
282	585	1482
283	586	1479
284	588	1477
285	590	1475
286	592	1472
287	595	1471
288	597	1469
289	599	1467
290	601	1466
291	603	1464
292	605	1461
293	607	1459
294	609	1457
295	611	1455
296	613	1453
297	615	1450
298	618	1448
299	620	1446
300	622	1444
301	624	1442
302	626	1440
303	628	1438
304	630	1436
305	632	1434
306	634	1432
307	637	1431
308	639	1429
309	641	1427
310	643	1425
311	645	1423
312	647	1421
313	649	1418
314	651	1415
315	652	1413
316	654	1410
317	656	1407
318	658	1405
319	660	1402
320	661	1399
321	663	1396
322	665	1394
323	666	1391
324	668	1388
325	670	1386
326	672	1383
327	673	1380
328	675	1378
329	677	1375
330	679	1372
331	681	1370
332	682	1367
333	684	1364
334	686	1362
335	688	1360
336	690	1357
337	691	1354
338	693	1352
339	695	1350
340	697	1347
341	699	1345
342	700	1342
343	702	1339
344	704	1337
345	706	1335
346	708	1332
347	709	1329
348	711	1327
349	713	1324
350	715	1322
351	716	1319
352	718	1317
353	720	1315
354	722	1312
355	724	1310
356	725	1307
357	727	1305
358	729	1302
359	731	1300
360	733	1297
361	734	1295
362	736	1292
363	738	1290
364	740	1287
365	742	1285
366	744	1284
367	746	1281
368	747	1279
369	749	1276
370	751	1273
371	753	1271
372	754	1268
373	756	1266
374	758	1264
375	760	1261
376	762	1259
377	764	1257
378	765	1254
379	767	1252
380	769	1250
381	771	1247
382	772	1244
383	774	1242
384	776	1239
385	777	1237
386	779	1235
387	781	1232
388	783	1230
389	785	1228
390	786	1225
391	788	1223
392	790	1220
393	792	1218
394	794	1216
395	796	1214
396	797	1211
397	799	1209
398	800	1206
399	802	1203
400	804	1202
401	806	1200
402	808	1198
403	810	1196
404	813	1194
405	815	1192
406	817	1190
407	819	1188
408	821	1186
409	823	1184
410	825	1182
411	827	1180
412	829	1178
413	831	1176
414	859	1211
415	877	1231
416	879	1230
417	882	1228
418	884	1225
419	887	1225
420	891	1226
421	894	1224
422	896	1222
423	898	1220
424	900	1218
425	902	1215
426	904	1213
427	906	1211
428	908	1209
429	910	1207
430	912	1205
431	914	1202
432	916	1200
433	918	1197
434	920	1195
435	921	1192
436	923	1190
437	925	1187
438	927	1185
439	929	1182
440	930	1179
441	932	1177
442	934	1174
443	936	1172
444	938	1169
445	939	1167
446	941	1164
447	943	1162
448	945	1159
449	947	1157
450	948	1154
451	950	1152
452	952	1150
453	954	1147
454	955	1144
455	957	1142
456	959	1140
457	961	1137
458	963	1135
459	964	1132
460	966	1130
461	968	1128
462	970	1125
463	972	1123
464	973	1120
465	975	1118
466	977	1115
467	979	1113
468	981	1110
469	982	1108
470	984	1105
471	986	1103
472	988	1101
473	990	1098
474	992	1096
475	994	1094
476	996	1092
477	998	1090
478	1000	1088
479	1002	1086
480	1004	1083
481	1006	1081
482	1008	1079
483	1010	1077
484	1012	1075
485	1014	1072
486	1016	1070
487	1018	1068
488	1020	1066
489	1022	1064
490	1024	1062
491	1026	1060
492	1028	1057
493	1030	1055
494	1033	1053
495	1035	1051
496	1037	1049
497	1039	1047
498	1041	1045
499	1044	1044
500	1046	1041
501	1047	1039
502	1049	1036
503	1051	1034
504	1053	1032
505	1054	1029
506	1056	1027
507	1058	1025
508	1060	1022
509	1061	1020
510	1063	1017
511	1065	1015
512	1067	1013
513	1069	1011
514	1071	1009
515	1073	1006
516	1074	1004
517	1076	1001
518	1078	999
519	1080	996
520	1081	994
521	1083	992
522	1085	989
523	1086	987
524	1088	984
525	1090	982
526	1092	980
527	1093	977
528	1095	975
529	1097	973
530	1099	970
531	1100	968
532	1102	966
533	1104	963
534	1106	961
535	1108	959
536	1109	956
537	1111	954
538	1113	952
539	1115	949
540	1116	947
541	1118	945
542	1120	942
543	1122	940
544	1124	938
545	1125	936
546	1127	933
547	1129	931
548	1131	929
549	1133	927
550	1134	924
551	1136	922
552	1138	920
553	1140	917
554	1141	915
555	1143	913
556	1145	911
557	1147	908
558	1149	906
559	1150	904
560	1152	901
561	1154	899
562	1156	897
563	1158	895
564	1160	893
565	1161	890
566	1163	888
567	1165	886
568	1167	884
569	1168	881
570	1170	879
571	1172	877
572	1174	875
573	1176	872
574	1178	870
575	1179	868
576	1181	866
577	1183	864
578	1185	861
579	1186	859
580	1188	857
581	1190	854
582	1192	852
583	1194	850
584	1196	848
585	1198	846
586	1200	844
587	1202	842
588	1204	840
589	1206	838
590	1208	836
591	1210	834
592	1212	832
593	1214	830
594	1216	828
595	1218	826
596	1220	824
597	1223	822
598	1225	820
599	1227	818
600	1229	816
601	1231	814
602	1233	812
603	1235	810
604	1237	808
605	1239	806
606	1242	804
607	1244	802
608	1246	800
609	1248	798
610	1250	795
611	1251	793
612	1253	791
613	1254	788
614	1256	786
615	1258	784
616	1260	782
617	1262	780
618	1263	777
619	1265	775
620	1267	773
621	1269	771
622	1271	769
623	1273	767
624	1275	765
625	1276	762
626	1278	760
627	1280	758
628	1281	756
629	1283	753
630	1285	751
631	1287	749
632	1288	747
633	1290	745
634	1292	742
635	1294	740
636	1296	738
637	1297	736
638	1299	734
639	1301	732
640	1303	729
641	1305	727
642	1306	725
643	1308	723
644	1310	721
645	1312	719
646	1314	716
647	1315	714
648	1317	712
649	1319	710
650	1321	708
651	1323	706
652	1324	703
653	1326	701
654	1328	699
655	1329	697
656	1331	695
657	1333	693
658	1335	690
659	1336	688
660	1338	686
661	1340	684
662	1342	682
663	1344	680
664	1345	678
665	1347	675
666	1349	673
667	1351	671
668	1352	669
669	1354	667
670	1356	664
671	1357	662
672	1359	660
673	1361	658
674	1363	656
675	1365	654
676	1367	652
677	1368	650
678	1370	648
679	1372	645
680	1374	643
681	1376	641
682	1377	639
683	1379	637
684	1381	635
685	1383	633
686	1385	631
687	1386	628
688	1388	626
689	1390	624
690	1392	622
691	1394	620
692	1396	618
693	1397	616
694	1399	614
